,Keyword,Make,Model
0,alliance,amc,alliance
1,amc alliance,amc,alliance
2,alliance amc,amc,alliance
3,concord,amc,concord
4,amc concord,amc,concord
5,concord amc,amc,concord
6,eagle,amc,eagle
7,amc eagle,amc,eagle
8,eagle amc,amc,eagle
9,encore,amc,encore
10,amc encore,amc,encore
11,encore amc,amc,encore
12,spirit,amc,spirit
13,amc spirit,amc,spirit
14,spirit amc,amc,spirit
15,other amc models,amc,other amc models
16,amc other amc models,amc,other amc models
17,other amc models amc,amc,other amc models
18,cl,acura,cl
19,acura cl,acura,cl
20,cl acura,acura,cl
21,ilx,acura,ilx
22,acura ilx,acura,ilx
23,ilx acura,acura,ilx
24,integra,acura,integra
25,acura integra,acura,integra
26,integra acura,acura,integra
27,legend,acura,legend
28,acura legend,acura,legend
29,legend acura,acura,legend
30,mdx,acura,mdx
31,acura mdx,acura,mdx
32,mdx acura,acura,mdx
33,nsx,acura,nsx
34,acura nsx,acura,nsx
35,nsx acura,acura,nsx
36,rdx,acura,rdx
37,acura rdx,acura,rdx
38,rdx acura,acura,rdx
39,rl,acura,rl
40,acura rl,acura,rl
41,rl acura,acura,rl
42,rlx,acura,rlx
43,acura rlx,acura,rlx
44,rlx acura,acura,rlx
45,rsx,acura,rsx
46,acura rsx,acura,rsx
47,rsx acura,acura,rsx
48,slx,acura,slx
49,acura slx,acura,slx
50,slx acura,acura,slx
51,tl,acura,tl
52,acura tl,acura,tl
53,tl acura,acura,tl
54,tlx,acura,tlx
55,acura tlx,acura,tlx
56,tlx acura,acura,tlx
57,tsx,acura,tsx
58,acura tsx,acura,tsx
59,tsx acura,acura,tsx
60,vigor,acura,vigor
61,acura vigor,acura,vigor
62,vigor acura,acura,vigor
63,zdx,acura,zdx
64,acura zdx,acura,zdx
65,zdx acura,acura,zdx
66,other acura models,acura,other acura models
67,acura other acura models,acura,other acura models
68,other acura models acura,acura,other acura models
69,164,alfa romeo,164
70,alfa romeo 164,alfa romeo,164
71,164 alfa romeo,alfa romeo,164
72,4c,alfa romeo,4c
73,alfa romeo 4c,alfa romeo,4c
74,4c alfa romeo,alfa romeo,4c
75,8c competizione,alfa romeo,8c competizione
76,alfa romeo 8c competizione,alfa romeo,8c competizione
77,8c competizione alfa romeo,alfa romeo,8c competizione
78,giulia,alfa romeo,giulia
79,alfa romeo giulia,alfa romeo,giulia
80,giulia alfa romeo,alfa romeo,giulia
81,gtv-6,alfa romeo,gtv-6
82,alfa romeo gtv-6,alfa romeo,gtv-6
83,gtv-6 alfa romeo,alfa romeo,gtv-6
84,milano,alfa romeo,milano
85,alfa romeo milano,alfa romeo,milano
86,milano alfa romeo,alfa romeo,milano
87,spider,alfa romeo,spider
88,alfa romeo spider,alfa romeo,spider
89,spider alfa romeo,alfa romeo,spider
90,stelvio,alfa romeo,stelvio
91,alfa romeo stelvio,alfa romeo,stelvio
92,stelvio alfa romeo,alfa romeo,stelvio
93,other alfa romeo models,alfa romeo,other alfa romeo models
94,alfa romeo other alfa romeo models,alfa romeo,other alfa romeo models
95,other alfa romeo models alfa romeo,alfa romeo,other alfa romeo models
96,db11,aston martin,db11
97,aston martin db11,aston martin,db11
98,db11 aston martin,aston martin,db11
99,db7,aston martin,db7
100,aston martin db7,aston martin,db7
101,db7 aston martin,aston martin,db7
102,db9,aston martin,db9
103,aston martin db9,aston martin,db9
104,db9 aston martin,aston martin,db9
105,dbs,aston martin,dbs
106,aston martin dbs,aston martin,dbs
107,dbs aston martin,aston martin,dbs
108,dbx,aston martin,dbx
109,aston martin dbx,aston martin,dbx
110,dbx aston martin,aston martin,dbx
111,lagonda,aston martin,lagonda
112,aston martin lagonda,aston martin,lagonda
113,lagonda aston martin,aston martin,lagonda
114,rapide,aston martin,rapide
